g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
19.921 2.8 1.368 0.692 0.395 15.251 -11.156 32.33 -2.78 -56.76 7.43 0.0018 10.36 5 7.1 3762.0 5.04 8 9.954 0.354 9.052 0.334 -0.563 0.246 239.395538 -48.193802 61.361053 -37.176624 0.5551 -8.1884 -0.3185 -0.3988 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.477 2.719 1.309 0.693 0.394 5.129 -13.479 18.28 20.08 -37.2 -7.04 0.00181 9.96 5 7.1 3724.0 4.89 8 9.9564 0.292 8.753 0.371 -0.327 0.196 240.491898 -48.440426 61.05159 -37.906116 0.5525 -8.1805 -0.319 -0.3984 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.579 2.546 1.238 0.594 0.333 22.152 9.653 48.98 -62.3 -53.91 8.15 0.00179 9.08 5 7.0 3959.0 4.81 8 9.9211 0.531 8.158 0.448 -0.128 0.204 240.569916 -47.687294 62.006287 -37.960155 0.5595 -8.1851 -0.328 -0.3987 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.954 2.18 1.044 0.393 0.225 20.442 7.219 18.56 -44.95 -37.57 25.17 0.0018 8.08 5 6.7 4221.0 4.74 8 10.0502 0.896 7.302 0.557 -0.651 0.297 240.405777 -47.925354 61.704338 -37.850277 0.5555 -8.1838 -0.3237 -0.3973 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.219 0.214 -0.466 -0.278 -0.313 4.075 8.962 59.72 -45.13 -29.19 -36.95 0.0018 10.73 6 9.0 20676.0 7.83 8 10.0558 0.518 8.62 0.013 -0.423 0.232 239.65181 -48.512371 60.962196 -37.349052 0.5545 -8.1856 -0.317 -0.4004 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.135 0.573 -0.301 -0.213 -0.254 -8.725 -16.65 42.7 27.5 -32.19 -47.78 0.00185 11.57 6 9.0 13204.0 7.98 8 10.1294 0.723 10.595 0.013 -0.788 0.277 239.85318 -47.920845 61.70789 -37.479958 0.5419 -8.1824 -0.314 -0.3872 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.121 2.738 1.408 0.777 0.445 36.321 -6.625 15.59 -24.02 -82.37 55.34 0.0018 11.52 5 7.2 3586.0 5.02 11 12.051 0.351 10.082 0.223 -0.393 0.234 240.596313 -48.083347 61.50386 -37.977551 0.5548 -8.182 -0.3229 -0.3979 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.81 2.976 1.401 1.124 0.643 20.024 21.768 53.04 -86.89 -37.95 -6.67 0.00175 12.13 5 7.35 3270.0 4.96 6 6.0183 0.276 10.193 0.248 -0.29 0.04 240.614975 -48.50877 60.964058 -37.987137 0.5704 -8.1854 -0.3293 -0.4123 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.945 2.951 1.409 1.097 0.627 -13.199 -20.99 -15.3 70.2 -0.55 -10.13 0.00173 12.24 5 7.35 3369.0 5.03 5 4.0918 0.165 10.132 0.253 -0.352 0.035 239.213928 -48.376019 61.130985 -37.05769 0.5778 -8.1964 -0.3297 -0.4169 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.763 3.015 1.376 1.13 0.648 11.041 -11.842 4.36 13.22 -36.78 16.66 0.00178 12.13 5 7.35 3329.0 5.05 7 8.5079 0.484 10.132 0.253 -0.316 0.083 240.189117 -48.008362 61.598991 -37.705364 0.5631 -8.1873 -0.3269 -0.4035 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.186 2.994 1.345 1.066 0.612 4.24 -6.95 37.41 -1.08 -39.79 -19.95 0.00175 11.54 5 7.3 3344.0 5.0 7 8.3677 0.234 9.874 0.273 -0.13 -0.021 239.270523 -48.164253 61.396927 -37.092926 0.5725 -8.1951 -0.3282 -0.4115 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.36 2.948 1.362 1.049 0.601 20.904 8.77 27.71 -55.89 -34.16 14.07 0.00175 11.71 5 7.3 3475.0 4.78 6 6.0208 0.346 9.874 0.273 -0.255 -0.045 239.634979 -48.360287 61.153442 -37.337273 0.5701 -8.1915 -0.3268 -0.4111 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.827 2.806 1.369 0.966 0.554 6.55 7.888 9.94 -24.92 -4.36 6.47 0.00177 11.19 5 7.25 3573.0 4.87 5 4.0141 0.341 9.695 0.286 -0.198 0.026 239.325272 -48.10825 61.467712 -37.128769 0.5665 -8.193 -0.3253 -0.4067 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.967 2.843 1.344 0.972 0.557 22.488 22.489 44.05 -88.51 -37.4 9.08 0.00173 11.3 5 7.25 3475.0 4.84 6 5.9945 0.594 9.652 0.289 -0.117 0.02 239.470047 -48.096416 61.483971 -37.225304 0.5786 -8.1963 -0.3328 -0.4156 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.668 2.873 1.323 0.975 0.559 -0.189 13.021 2.07 -31.94 13.28 1.28 0.00173 11.03 5 7.25 3547.0 4.76 4 2.3995 0.366 9.61 0.292 -0.285 0.062 239.621979 -47.883308 61.753189 -37.324581 0.5765 -8.1955 -0.3335 -0.4126 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.546 2.907 1.301 0.98 0.562 4.0 -8.709 29.39 7.52 -35.33 -16.52 0.00175 10.94 5 7.25 3486.0 4.87 6 6.017 0.364 9.565 0.296 0.084 -0.005 239.542603 -48.048637 61.544651 -37.273273 0.5699 -8.1931 -0.3284 -0.4089 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.279 2.859 1.294 0.949 0.544 8.284 21.066 39.2 -71.13 -10.14 -13.86 0.00178 10.71 5 7.2 3552.0 4.87 6 6.0353 0.346 9.418 0.311 0.153 0.021 240.122849 -47.656025 62.04388 -37.658943 0.5634 -8.189 -0.329 -0.4014 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.252 2.836 1.292 0.933 0.535 7.182 -4.195 9.9 -2.84 -22.41 6.82 0.00178 10.68 5 7.2 3528.0 4.78 4 2.4053 0.372 9.346 0.318 0.051 -0.014 240.120331 -48.334644 61.186665 -37.65979 0.5626 -8.1863 -0.3243 -0.4053 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.053 2.812 1.289 0.918 0.526 12.019 -22.592 -22.14 52.87 -38.98 38.43 0.00175 10.46 5 7.2 3638.0 4.84 7 8.5339 0.396 9.274 0.326 -0.067 0.004 240.375092 -48.153145 61.415913 -37.829681 0.5711 -8.1883 -0.3312 -0.4104 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.107 2.763 1.306 0.881 0.504 8.589 3.033 8.41 -17.6 -13.8 7.69 0.00177 10.53 5 7.2 3516.0 4.89 6 5.9286 0.544 9.202 0.333 -0.065 -0.006 240.134155 -47.780762 61.886379 -37.667469 0.5638 -8.1887 -0.3285 -0.4025 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.368 2.694 1.275 0.839 0.479 -3.695 11.276 -1.44 -16.62 23.45 -4.91 0.00177 9.81 5 7.15 3703.0 4.83 5 3.8631 0.53 8.921 0.365 -0.064 0.039 240.001236 -47.753887 61.919464 -37.57793 0.5649 -8.1899 -0.3289 -0.4032 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.913 2.614 1.269 0.705 0.4 0.366 -10.696 28.7 15.94 -30.61 -20.88 0.00176 9.35 5 7.05 3882.0 4.89 4 2.4777 0.492 8.378 0.434 0.003 0.006 239.452393 -47.603531 62.102623 -37.206474 0.5695 -8.1952 -0.3307 -0.4056 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.197 2.547 1.184 0.523 0.3 -1.001 21.853 33.96 -59.72 10.22 -27.37 0.00173 8.23 5 6.9 4160.0 4.78 7 8.5178 0.649 7.363 0.602 0.13 -0.022 239.520035 -48.076233 61.509762 -37.258484 0.5768 -8.1955 -0.3321 -0.4142 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.409 2.715 1.37 0.912 0.522 1.956 9.568 33.93 -35.98 -6.18 -22.53 0.00176 11.77 5 7.25 3541.0 5.02 8 10.0708 0.278 10.076 0.234 -0.427 0.161 239.559631 -48.109501 61.468288 -37.285252 0.5686 -8.1923 -0.3273 -0.4083 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.336 2.63 1.398 0.853 0.489 -15.235 -3.741 74.13 3.9 -18.91 -85.37 0.00178 11.71 5 7.2 3514.0 5.11 8 10.0799 0.272 9.938 0.246 -0.447 0.245 239.433319 -48.330978 61.189178 -37.203056 0.5609 -8.1896 -0.3211 -0.404 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.79 2.783 1.285 0.899 0.514 7.46 0.988 -29.01 2.22 3.33 32.9 0.00176 11.21 5 7.2 3651.0 5.01 8 9.9746 0.195 9.652 0.27 0.078 0.104 239.687973 -48.364571 61.148281 -37.372509 0.5679 -8.1904 -0.3257 -0.4094 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.4 2.692 1.364 0.788 0.451 8.686 3.483 -19.95 -11.24 -2.55 33.94 0.00178 10.8 5 7.15 3670.0 4.88 8 10.0208 0.386 9.505 0.285 -0.459 0.217 239.253632 -48.435997 61.056126 -37.084629 0.5614 -8.1904 -0.3201 -0.4051 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.015 2.235 1.083 0.417 0.238 -3.734 7.179 27.92 -20.33 2.29 -26.57 0.00175 8.08 5 6.75 4226.0 4.65 8 10.0727 0.578 7.443 0.542 -0.999 0.262 239.373459 -47.642139 62.053005 -37.153973 0.5711 -8.196 -0.3311 -0.407 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.991 2.222 1.049 0.393 0.226 -1.678 -13.09 -48.79 44.53 16.63 31.59 0.00174 8.04 5 6.7 4254.0 4.8 8 9.7867 0.569 7.302 0.557 -0.764 0.279 239.466003 -48.211174 61.339825 -37.223755 0.5742 -8.1944 -0.3296 -0.4131 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.579 2.724 1.331 0.601 0.34 16.434 1.251 16.38 -24.53 -33.78 19.34 0.00174 9.98 5 7.05 3826.0 4.94 11 12.1802 0.368 8.866 0.341 -0.866 0.312 239.163864 -47.652451 62.036671 -37.012989 0.5741 -8.1982 -0.3321 -0.4093 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.637 3.103 1.338 1.148 0.661 10.585 14.025 32.27 -56.33 -16.29 -6.01 0.00172 11.96 5 7.3 3392.0 4.96 5 3.892 0.053 10.072 0.258 0.241 -0.013 240.037445 -48.070847 61.51965 -37.604149 0.5804 -8.1937 -0.336 -0.4168 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.31 3.072 1.327 1.102 0.634 -7.57 -26.656 -4.12 72.08 -18.96 -8.6 0.00172 11.64 5 7.3 3400.0 4.97 5 3.9554 0.43 9.92 0.269 0.228 -0.059 240.205246 -48.176521 61.386436 -37.716373 0.5804 -8.1923 -0.3359 -0.4176 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.231 3.03 1.32 1.072 0.616 15.826 4.292 62.6 -48.2 -63.69 -15.14 0.00171 11.55 5 7.3 3399.0 5.09 7 8.5357 0.287 9.828 0.276 0.093 0.009 240.378845 -48.187557 61.372337 -37.832111 0.5848 -8.1927 -0.339 -0.4209 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.063 2.989 1.313 1.041 0.598 13.652 -9.333 26.85 1.42 -55.28 5.37 0.0017 11.38 5 7.25 3434.0 4.96 7 8.5373 0.225 9.739 0.283 0.044 -0.008 240.384842 -47.677811 62.017761 -37.835526 0.5872 -8.1954 -0.3437 -0.4192 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.036 2.884 1.352 1.003 0.575 0.739 -10.345 9.28 19.97 -14.47 -10.15 0.00168 11.31 5 7.25 3520.0 4.86 5 3.9778 0.223 9.739 0.283 -0.251 -0.01 240.129639 -47.865517 61.779282 -37.664948 0.594 -8.1985 -0.3456 -0.4255 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.946 2.924 1.337 1.017 0.584 -0.324 -11.789 38.25 17.56 -39.58 -26.47 0.00171 11.25 5 7.25 3436.0 4.92 6 5.9658 0.392 9.739 0.283 -0.066 0.011 240.180878 -48.393223 61.112572 -37.699921 0.5864 -8.1936 -0.3378 -0.4234 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.783 2.94 1.31 1.008 0.578 10.04 14.176 28.66 -50.56 -14.35 -5.74 0.00169 11.09 5 7.25 3432.0 5.01 7 8.4179 0.221 9.652 0.289 0.071 0.068 239.504333 -47.723442 61.952793 -37.243416 0.5907 -8.2016 -0.3424 -0.422 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.353 2.662 1.381 0.839 0.481 17.946 29.177 21.72 -97.68 -0.87 14.29 0.00168 10.62 5 7.2 3524.0 4.88 7 8.4925 0.48 9.346 0.318 -0.529 -0.009 239.834747 -47.676495 62.015606 -37.465141 0.5938 -8.2009 -0.3457 -0.424 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.294 2.621 1.278 0.791 0.451 18.616 8.523 19.02 -44.53 -31.97 23.87 0.00168 9.62 5 7.1 3745.0 4.7 7 8.5003 0.567 8.718 0.388 0.325 0.027 240.353806 -48.456875 61.031483 -37.814426 0.5966 -8.1957 -0.3439 -0.4315 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.912 2.574 1.258 0.742 0.422 8.68 12.898 19.02 -51.52 -9.99 1.93 0.00168 9.26 5 7.05 3756.0 4.92 3 1.4138 0.644 8.477 0.419 0.056 0.015 240.479904 -48.0019 61.607349 -37.899906 0.5948 -8.1961 -0.3463 -0.427 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.439 2.548 1.213 0.645 0.363 18.918 -1.7 21.49 -22.76 -50.85 22.84 0.00167 8.8 5 7.0 4031.0 4.62 5 3.8857 0.515 7.886 0.513 0.282 0.019 239.689651 -48.25473 61.286495 -37.373055 0.5972 -8.2007 -0.3433 -0.4306 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.279 2.555 1.227 0.629 0.354 18.227 -17.706 -4.83 25.05 -55.02 35.67 0.00172 8.7 5 7.0 3832.0 4.72 7 8.6473 0.436 7.886 0.513 -0.041 -0.044 240.095825 -48.179714 61.382336 -37.643414 0.5809 -8.1931 -0.3358 -0.4179 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.416 2.756 1.438 0.812 0.465 12.032 8.61 20.63 -43.09 -21.15 8.9 0.00167 11.63 5 7.2 3556.0 5.13 8 9.8502 0.297 9.938 0.246 -0.866 0.268 240.5961 -48.347431 61.168854 -37.975971 0.599 -8.1955 -0.3468 -0.4326 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.977 2.695 1.358 0.821 0.471 -5.549 7.596 24.82 -18.86 6.11 -26.22 0.00168 11.25 5 7.2 3581.0 5.18 8 10.0802 0.395 9.652 0.27 -0.332 0.207 240.485138 -48.255466 61.286003 -37.90271 0.5949 -8.1951 -0.3447 -0.4289 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.062 2.687 1.312 0.76 0.433 17.087 20.519 26.11 -78.13 -17.66 11.78 0.00168 10.38 5 7.1 3756.0 4.86 8 9.8727 0.407 9.052 0.334 -0.281 0.164 239.257706 -48.311333 61.212429 -37.086098 0.5941 -8.202 -0.3396 -0.4286 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.846 2.682 1.303 0.74 0.422 2.672 9.258 -8.1 -21.5 16.07 8.65 0.00167 10.15 5 7.1 3718.0 4.74 8 9.9403 0.58 8.902 0.353 -0.386 0.204 239.842499 -47.97459 61.640079 -37.473225 0.5999 -8.2018 -0.3473 -0.4306 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.706 2.613 1.274 0.736 0.418 6.353 7.051 61.89 -48.82 -32.33 -35.83 0.00172 10.1 5 7.1 3800.0 4.81 8 10.077 0.35 8.753 0.371 -0.122 0.165 239.933151 -48.359623 61.155083 -37.535393 0.5811 -8.1935 -0.3342 -0.4193 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.509 2.707 1.306 0.659 0.374 17.723 6.753 43.77 -50.59 -44.98 2.46 0.0017 9.86 5 7.05 3870.0 4.98 8 9.9521 0.387 8.604 0.391 -0.323 0.253 239.16539 -47.58263 62.124096 -37.012547 0.5888 -8.2036 -0.341 -0.4197 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.961 2.576 1.244 0.644 0.363 18.88 -7.93 47.9 -18.61 -69.7 -4.32 0.00172 9.37 5 7.0 3915.0 4.82 8 10.0153 0.36 8.306 0.43 -0.376 0.201 239.287949 -48.256401 61.281578 -37.105625 0.5808 -8.1975 -0.3325 -0.4183 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.816 2.546 1.245 0.586 0.328 -20.455 -24.848 -21.84 86.33 14.62 -25.36 0.00168 9.18 5 7.0 3963.0 5.01 8 10.0061 0.495 8.158 0.448 -0.443 0.206 239.244843 -47.897556 61.730869 -37.071918 0.5939 -8.2036 -0.3422 -0.4256 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.295 2.358 1.139 0.443 0.256 21.355 9.414 66.49 -63.35 -58.26 -15.63 0.00172 8.31 5 6.8 4120.0 4.69 8 10.1165 0.587 7.583 0.525 -0.881 0.256 240.340347 -48.378998 61.130085 -37.80587 0.5826 -8.1915 -0.3363 -0.4205 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.353 2.265 0.907 0.318 0.17 -5.397 -14.512 45.49 25.21 -37.55 -44.85 0.00171 7.39 5 6.5 4492.0 4.65 8 10.0719 0.617 6.875 0.605 -0.336 0.205 239.252731 -47.674362 62.010689 -37.073265 0.5849 -8.2013 -0.3385 -0.4174 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
17.652 2.341 1.173 0.46 0.263 27.018 25.619 12.4 -87.45 -20.26 42.66 0.00171 8.66 5 6.85 4100.0 4.79 11 11.9618 0.557 7.952 0.457 -0.82 0.307 240.016342 -47.984207 61.628933 -37.589653 0.5854 -8.1958 -0.3394 -0.4199 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.971 2.947 1.411 1.095 0.625 6.096 -0.767 28.38 -19.73 -25.01 -14.09 0.00163 12.13 5 7.35 3335.0 4.9 4 2.6413 0.272 10.132 0.253 -0.454 0.014 239.884689 -48.429482 61.066975 -37.503288 0.6129 -8.2041 -0.3518 -0.4436 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.956 3.082 1.342 1.163 0.67 2.582 6.285 19.0 -24.15 -4.86 -13.07 0.00162 12.14 5 7.35 3338.0 4.97 5 3.8823 0.52 10.132 0.253 0.053 0.033 239.802841 -48.105732 61.474655 -37.44762 0.6178 -8.2075 -0.3565 -0.4448 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.975 3.016 1.375 1.111 0.637 26.239 11.459 69.93 -78.23 -71.61 -1.99 0.00165 12.18 5 7.3 3174.0 4.81 7 8.4589 0.41 10.072 0.258 -0.265 0.013 239.579193 -48.532372 60.936871 -37.301022 0.6069 -8.2035 -0.3465 -0.4397 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.554 3.008 1.363 1.086 0.623 0.543 0.282 35.04 -11.1 -19.33 -26.33 0.00162 11.73 5 7.3 3383.0 4.93 6 6.1062 0.308 9.967 0.266 -0.201 0.028 239.365326 -47.856972 61.783352 -37.152077 0.6181 -8.2113 -0.3569 -0.4433 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.48 3.079 1.336 1.112 0.64 12.706 9.905 6.34 -41.25 -15.13 19.02 0.00165 11.71 5 7.3 3403.0 5.05 6 6.0464 0.282 9.967 0.266 -0.03 -0.018 240.144104 -48.362526 61.151421 -37.675552 0.6068 -8.2007 -0.3497 -0.4385 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.323 2.982 1.361 1.069 0.613 0.663 12.351 8.71 -33.25 7.49 -4.29 0.00166 11.55 5 7.3 3239.0 4.86 7 8.6403 0.164 9.92 0.269 -0.332 0.015 239.935364 -47.982883 61.630192 -37.535446 0.6042 -8.2026 -0.35 -0.4339 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.428 2.986 1.348 1.063 0.61 7.589 11.568 34.66 -49.55 -17.37 -10.25 0.00162 11.61 5 7.3 3409.0 4.97 5 3.955 0.2 9.874 0.273 -0.014 0.071 240.595459 -48.265373 61.272945 -37.976101 0.6176 -8.2019 -0.3582 -0.4459 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.204 2.864 1.382 1.01 0.578 -2.615 -34.141 -12.22 92.03 -37.29 4.39 0.00165 11.41 5 7.3 3431.0 4.93 6 6.1685 0.399 9.828 0.276 -0.34 -0.033 239.45488 -47.853977 61.788242 -37.212116 0.6054 -8.2064 -0.3499 -0.4339 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.195 2.82 1.386 0.987 0.565 9.375 -4.252 10.59 -4.01 -30.12 8.13 0.00166 11.42 5 7.25 3362.0 4.89 5 3.8868 0.306 9.783 0.279 -0.452 0.024 239.986847 -47.845711 61.803513 -37.568993 0.6011 -8.2018 -0.3493 -0.4306 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.802 2.907 1.301 0.98 0.562 12.077 26.035 74.9 -105.77 -29.27 -31.07 0.00164 11.05 5 7.25 3474.0 4.99 7 8.3806 0.457 9.565 0.296 0.188 0.048 240.493866 -48.442726 61.048641 -37.907402 0.6115 -8.1998 -0.3531 -0.4426 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.699 2.891 1.306 0.974 0.559 6.872 10.08 16.56 -38.8 -8.27 -0.67 0.00166 10.97 5 7.25 3543.0 5.1 4 2.6978 0.476 9.565 0.296 -0.042 0.043 239.379608 -48.019634 61.579456 -37.163952 0.6022 -8.2052 -0.3467 -0.4327 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.39 2.702 1.402 0.798 0.458 6.719 10.651 30.29 -47.99 -14.23 -8.06 0.00165 10.6 5 7.2 3626.0 4.92 6 5.7625 0.525 9.274 0.326 -0.655 0.066 239.788788 -48.427822 61.068913 -37.439655 0.6056 -8.2022 -0.3472 -0.438 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
