g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
18.747 0.608 0.056 0.036 -0.114 24.119 -3.066 10.82 -6.03 -14.6 5.19 0.00775 13.15 6 9.1 7960.0 7.98 4 2.535 0.661 13.3 0.01 0.153 0.009 239.341248 -47.85421 61.786522 -37.135891 0.129 -8.0442 -0.0745 -0.0807 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.666 3.03 1.352 1.204 0.694 52.342 41.079 56.13 -53.71 -41.82 -19.59 0.0075 13.17 5 7.35 3325.0 5.35 8 9.8905 0.17 10.905 0.181 0.0 0.167 239.954849 -47.89222 61.744637 -37.547878 0.1334 -8.0448 -0.0774 -0.084 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.687 2.984 1.313 1.038 0.596 -13.559 -13.845 15.01 4.45 -8.17 -18.1 0.00746 12.22 5 7.25 3454.0 5.11 8 10.0203 0.103 10.333 0.215 0.127 0.089 240.223145 -48.025623 61.577244 -37.728157 0.134 -8.0445 -0.0778 -0.0846 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.745 2.818 1.376 0.683 0.39 72.726 17.306 60.12 -46.55 -58.92 -16.52 0.00763 10.31 5 7.1 3589.0 4.92 8 10.0225 0.298 9.052 0.334 -0.682 0.305 240.029099 -48.153004 61.415943 -37.598858 0.131 -8.0437 -0.0757 -0.0826 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.128 3.068 1.412 1.427 0.827 3.712 -55.368 19.67 26.71 -32.91 -12.5 0.00658 14.31 5 7.45 3060.0 5.19 6 5.9484 0.252 11.61 0.147 0.042 0.043 239.953339 -48.349472 61.167923 -37.548798 0.1519 -8.0506 -0.0874 -0.0985 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.001 3.008 1.42 1.292 0.74 -0.818 -51.023 28.82 21.51 -34.78 -20.99 0.00634 13.1 5 7.4 3151.0 5.21 4 2.5079 0.151 10.816 0.201 -0.095 0.064 239.557526 -48.243755 61.299557 -37.285 0.1578 -8.0532 -0.0906 -0.1027 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.953 3.049 1.441 1.272 0.725 78.495 -50.193 25.24 1.73 -66.32 18.19 0.00674 13.17 5 7.4 3151.0 4.96 6 5.8624 0.277 10.816 0.201 -0.09 0.008 240.406509 -48.191303 61.367531 -37.850552 0.1483 -8.0488 -0.086 -0.0956 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.503 2.953 1.369 1.27 0.733 46.736 47.162 21.33 -49.02 -18.76 4.91 0.00683 12.8 5 7.4 3276.0 4.83 7 8.6556 0.066 10.561 0.22 -0.081 -0.013 240.135956 -47.747467 61.928452 -37.668461 0.1465 -8.0491 -0.0854 -0.0934 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.229 2.58 1.265 0.758 0.432 7.239 44.554 -7.89 -24.93 16.63 9.29 0.00688 9.63 5 7.1 3699.0 4.68 4 2.3213 0.405 8.575 0.405 0.029 0.016 239.45018 -47.966587 61.646801 -37.210487 0.1453 -8.0495 -0.0838 -0.0929 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.755 0.755 0.206 0.045 -0.05 44.05 -9.631 33.69 -18.67 -44.65 -6.42 0.00679 13.79 6 9.1 6789.0 8.21 5 4.0669 0.551 13.85 0.011 0.024 -0.015 239.722702 -47.68401 62.004978 -37.389805 0.1472 -8.05 -0.0856 -0.0938 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.604 2.653 1.392 0.889 0.509 74.399 59.248 30.87 -64.43 -31.6 8.0 0.00696 11.94 5 7.25 3494.0 4.96 8 9.8516 0.12 10.076 0.234 -0.378 0.226 240.535355 -47.872726 61.771084 -37.937126 0.1437 -8.0474 -0.0839 -0.0916 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
